"E11ENP.1";"E11ENP.2";"E11ENP.3";"E13ENP.1";"E13ENP.2";"E13ENP.3"
"rno-miR-100";4.63936353703123;4.28655991830219;4.72820865771323;6.86877371278965;6.83871793726707;6.72167875349139
"rno-miR-125a";6.42261153240137;6.09333672142244;5.78228893647729;8.68731979238349;8.68731979238349;8.548186769212
"rno-miR-125b";5.9938822611443;5.33365596547118;5.0822914252913;9.23487150865718;9.01629084799273;8.68731979238349
"rno-miR-143";5.28694863118367;6.51450837274065;5.86110441781115;3.65846358615951;2.98920162683121;4.20614478549181
"rno-miR-145";5.78228893647729;6.49055825531146;5.72842635818377;3.84141403557295;2.92358460894749;4.51201657012673
"rno-miR-18";8.62886044135274;8.90996322680042;9.28434455982762;8.28124889520736;7.38585952453363;8.19409368834321
"rno-miR-181b";7.14389509971096;7.02921843000499;7.00503474081768;9.78337197560612;9.73051175460874;9.67638315613618
"rno-miR-181c";3.16545126340803;3.19814900580275;3.72951380721069;6.39053515428087;6.2638106356447;6.01352791061004
"rno-miR-183";5.88935536193663;6.01352791061004;5.57552206465782;4.13136823021965;3.70125063382386;3.43823140685284
"rno-miR-200b";5.42285340691607;5.76030408392023;5.11396784651643;3.05771535173248;2.86941705168294;1.75949264823773
